"is"	"becomes"
"1"	1	1
"2"	2	2
"3"	3	3
"4"	4	4
"5"	5	5
"6"	7	7
"7"	11	1
"8"	12	2
"9"	13	3
"10"	14	1
"11"	15	1
"12"	17	1
"13"	21	2
"14"	22	2
"15"	23	2
"16"	24	2
"17"	25	2
"18"	27	2
"19"	31	3
"20"	32	2
"21"	33	3
"22"	34	3
"23"	35	3
"24"	37	3
"25"	41	1
"26"	42	2
"27"	43	3
"28"	44	4
"29"	45	4
"30"	47	4
"31"	51	1
"32"	52	2
"33"	53	3
"34"	54	4
"35"	55	5
"36"	57	5
"37"	71	1
"38"	72	2
"39"	73	3
"40"	74	4
"41"	75	5
"42"	77	7
"43"	111	1
"44"	112	1
"45"	113	1
"46"	114	1
"47"	115	1
"48"	117	1
"49"	121	1
"50"	122	2
"51"	123	2
"52"	124	2
"53"	125	2
"54"	127	2
"55"	131	1
"56"	132	2
"57"	133	3
"58"	134	3
"59"	135	3
"60"	137	3
"61"	141	1
"62"	142	2
"63"	143	3
"64"	144	4
"65"	145	99
"66"	147	99
"67"	151	1
"68"	152	2
"69"	153	3
"70"	154	99
"71"	155	5
"72"	157	99
"73"	171	1
"74"	172	2
"75"	173	3
"76"	174	99
"77"	175	99
"78"	177	7
"79"	211	1
"80"	212	2
"81"	213	2
"82"	214	2
"83"	215	2
"84"	217	2
"85"	221	2
"86"	222	2
"87"	223	2
"88"	224	2
"89"	225	2
"90"	227	2
"91"	231	2
"92"	232	2
"93"	233	3
"94"	234	2
"95"	235	2
"96"	237	2
"97"	241	2
"98"	242	2
"99"	243	2
"100"	244	4
"101"	245	2
"102"	247	2
"103"	251	2
"104"	252	2
"105"	253	2
"106"	254	2
"107"	255	5
"108"	257	2
"109"	271	2
"110"	272	2
"111"	273	2
"112"	274	2
"113"	275	2
"114"	277	7
"115"	311	1
"116"	312	2
"117"	313	3
"118"	314	3
"119"	315	3
"120"	317	3
"121"	321	2
"122"	322	2
"123"	323	3
"124"	324	2
"125"	325	2
"126"	327	2
"127"	331	3
"128"	332	3
"129"	333	3
"130"	334	3
"131"	335	3
"132"	337	3
"133"	341	3
"134"	342	2
"135"	343	3
"136"	344	4
"137"	345	3
"138"	347	3
"139"	351	3
"140"	352	2
"141"	353	3
"142"	354	3
"143"	355	5
"144"	357	3
"145"	371	3
"146"	372	2
"147"	373	3
"148"	374	3
"149"	375	3
"150"	377	7
"151"	411	1
"152"	412	2
"153"	413	3
"154"	414	4
"155"	415	99
"156"	417	99
"157"	421	1
"158"	422	2
"159"	423	2
"160"	424	4
"161"	425	2
"162"	427	2
"163"	431	3
"164"	432	2
"165"	433	3
"166"	434	4
"167"	435	3
"168"	437	3
"169"	441	4
"170"	442	4
"171"	443	4
"172"	444	4
"173"	445	4
"174"	447	4
"175"	451	99
"176"	452	2
"177"	453	3
"178"	454	4
"179"	455	5
"180"	457	4
"181"	471	99
"182"	472	2
"183"	473	3
"184"	474	4
"185"	475	4
"186"	477	7
"187"	511	1
"188"	512	2
"189"	513	3
"190"	514	99
"191"	515	5
"192"	517	99
"193"	521	1
"194"	522	2
"195"	523	2
"196"	524	2
"197"	525	5
"198"	527	2
"199"	531	3
"200"	532	2
"201"	533	3
"202"	534	3
"203"	535	5
"204"	537	3
"205"	541	99
"206"	542	2
"207"	543	3
"208"	544	4
"209"	545	5
"210"	547	4
"211"	551	5
"212"	552	5
"213"	553	5
"214"	554	5
"215"	555	5
"216"	557	5
"217"	571	99
"218"	572	2
"219"	573	3
"220"	574	4
"221"	575	5
"222"	577	7
"223"	711	1
"224"	712	2
"225"	713	3
"226"	714	99
"227"	715	99
"228"	717	7
"229"	721	2
"230"	722	2
"231"	723	2
"232"	724	2
"233"	725	2
"234"	727	7
"235"	731	3
"236"	732	2
"237"	733	3
"238"	734	3
"239"	735	3
"240"	737	7
"241"	741	99
"242"	742	2
"243"	743	3
"244"	744	4
"245"	745	4
"246"	747	7
"247"	751	99
"248"	752	2
"249"	753	3
"250"	754	4
"251"	755	5
"252"	757	7
"253"	771	7
"254"	772	7
"255"	773	7
"256"	774	7
"257"	775	7
"258"	777	7
"259"	1111	1
"260"	1112	1
"261"	1113	1
"262"	1114	1
"263"	1115	1
"264"	1117	1
"265"	1121	1
"266"	1122	2
"267"	1123	2
"268"	1124	2
"269"	1125	2
"270"	1127	2
"271"	1131	1
"272"	1132	2
"273"	1133	3
"274"	1134	3
"275"	1135	3
"276"	1137	3
"277"	1141	1
"278"	1142	2
"279"	1143	3
"280"	1144	1
"281"	1145	99
"282"	1147	99
"283"	1151	1
"284"	1152	2
"285"	1153	3
"286"	1154	99
"287"	1155	1
"288"	1157	99
"289"	1171	1
"290"	1172	2
"291"	1173	3
"292"	1174	99
"293"	1175	99
"294"	1177	1
"295"	1211	1
"296"	1212	2
"297"	1213	2
"298"	1214	2
"299"	1215	2
"300"	1217	2
"301"	1221	2
"302"	1222	2
"303"	1223	2
"304"	1224	2
"305"	1225	2
"306"	1227	2
"307"	1231	2
"308"	1232	2
